"#","Reference","Qty","Value","Footprint","DNP"
"1","D1","1","GH CSSRML.24","TrucPourPlantes:LED_Osram_GH_CSSRML.24",""
"2","R1","1","10kΩ","Resistor_SMD:R_0402_1005Metric",""
